"group","code","major","minor","broad","detailed","title","essential","notes"
"Broad","13-1030","13-0000","13-1000","13-1030",NA,"Claims Adjusters, Appraisers, Examiners, and Investigators",1,NA
"Detailed","13-1031","13-0000","13-1000","13-1030","13-1031","Claims Adjusters, Examiners, and Investigators",1,NA
"Detailed","13-1032","13-0000","13-1000","13-1030","13-1032","Insurance Appraisers, Auto Damage",1,NA
"Broad","13-1040","13-0000","13-1000","13-1040",NA,"Compliance Officers",1,NA
"Detailed","13-1041","13-0000","13-1000","13-1040","13-1041","Compliance Officers",1,NA
"Broad","13-1050","13-0000","13-1000","13-1050",NA,"Cost Estimators",0,NA
"Detailed","13-1051","13-0000","13-1000","13-1050","13-1051","Cost Estimators",0,NA
"Broad","13-1070","13-0000","13-1000","13-1070",NA,"Human Resources Workers",1,NA
"Detailed","13-1071","13-0000","13-1000","13-1070","13-1071","Human Resources Specialists",1,NA
"Detailed","13-1074","13-0000","13-1000","13-1070","13-1074","Farm Labor Contractors",1,NA
"Detailed","13-1075","13-0000","13-1000","13-1070","13-1075","Labor Relations Specialists",1,NA
"Broad","13-1080","13-0000","13-1000","13-1080",NA,"Logisticians and Project Management Specialists",1,NA
"Detailed","13-1081","13-0000","13-1000","13-1080","13-1081","Logisticians",1,NA
"Detailed","13-1082","13-0000","13-1000","13-1080","13-1082","Project Management Specialists",1,NA
"Broad","13-1110","13-0000","13-1000","13-1110",NA,"Management Analysts",0,NA
"Detailed","13-1111","13-0000","13-1000","13-1110","13-1111","Management Analysts",0,NA
"Broad","13-1120","13-0000","13-1000","13-1120",NA,"Meeting, Convention, and Event Planners",0,NA
"Detailed","13-1121","13-0000","13-1000","13-1120","13-1121","Meeting, Convention, and Event Planners",0,NA
"Broad","13-1130","13-0000","13-1000","13-1130",NA,"Fundraisers",0,NA
"Detailed","13-1131","13-0000","13-1000","13-1130","13-1131","Fundraisers",0,NA
"Broad","13-1140","13-0000","13-1000","13-1140",NA,"Compensation, Benefits, and Job Analysis Specialists",0,NA
"Detailed","13-1141","13-0000","13-1000","13-1140","13-1141","Compensation, Benefits, and Job Analysis Specialists",0,NA
"Broad","13-1150","13-0000","13-1000","13-1150",NA,"Training and Development Specialists",0,NA
"Detailed","13-1151","13-0000","13-1000","13-1150","13-1151","Training and Development Specialists",0,NA
"Broad","13-1160","13-0000","13-1000","13-1160",NA,"Market Research Analysts and Marketing Specialists",0,NA
"Detailed","13-1161","13-0000","13-1000","13-1160","13-1161","Market Research Analysts and Marketing Specialists",0,NA
"Broad","13-1190","13-0000","13-1000","13-1190",NA,"Miscellaneous Business Operations Specialists",0,NA
"Detailed","13-1199","13-0000","13-1000","13-1190","13-1199","Business Operations Specialists, All Other",0,NA
"Broad","13-1190","13-0000","13-2000","13-1190",NA,"Financial Specialists",0,NA
"Broad","13-2010","13-0000","13-2000","13-2010",NA,"Accountants and Auditors",0,NA
"Detailed","13-2011","13-0000","13-2000","13-2010","13-2011","Accountants and Auditors",0,NA
"Broad","13-2020","13-0000","13-2000","13-2020",NA,"Property Appraisers and Assessors",1,NA
"Detailed","13-2022","13-0000","13-2000","13-2020","13-2022","Appraisers of Personal and Business Property",1,NA
"Detailed","13-2023","13-0000","13-2000","13-2020","13-2023","Appraisers and Assessors of Real Estate",1,NA
"Broad","13-2030","13-0000","13-2000","13-2030",NA,"Budget Analysts",1,NA
"Detailed","13-2031","13-0000","13-2000","13-2030","13-2031","Budget Analysts",1,NA
"Broad","13-2040","13-0000","13-2000","13-2040",NA,"Credit Analysts",1,NA
"Detailed","13-2041","13-0000","13-2000","13-2040","13-2041","Credit Analysts",1,NA
"Broad","13-2050","13-0000","13-2000","13-2050",NA,"Financial Analysts and Advisors",1,NA
"Detailed","13-2051","13-0000","13-2000","13-2050","13-2051","Financial and Investment Analysts",1,NA
"Detailed","13-2052","13-0000","13-2000","13-2050","13-2052","Personal Financial Advisors",1,NA
"Detailed","13-2053","13-0000","13-2000","13-2050","13-2053","Insurance Underwriters",1,NA
"Detailed","13-2054","13-0000","13-2000","13-2050","13-2054","Financial Risk Specialists",1,NA
"Broad","13-2060","13-0000","13-2000","13-2060",NA,"Financial Examiners",1,NA
"Detailed","13-2061","13-0000","13-2000","13-2060","13-2061","Financial Examiners",1,NA
"Broad","13-2070","13-0000","13-2000","13-2070",NA,"Credit Counselors and Loan Officers",1,NA
"Detailed","13-2071","13-0000","13-2000","13-2070","13-2071","Credit Counselors",1,NA
"Detailed","13-2072","13-0000","13-2000","13-2070","13-2072","Loan Officers",1,NA
"Broad","13-2080","13-0000","13-2000","13-2080",NA,"Tax Examiners, Collectors and Preparers, and Revenue Agents",0,NA
"Detailed","13-2081","13-0000","13-2000","13-2080","13-2081","Tax Examiners and Collectors, and Revenue Agents",0,NA
"Detailed","13-2082","13-0000","13-2000","13-2080","13-2082","Tax Preparers",0,NA
"Broad","13-2090","13-0000","13-2000","13-2090",NA,"Miscellaneous Financial Specialists",1,NA
"Detailed","13-2099","13-0000","13-2000","13-2090","13-2099","Financial Specialists, All Other",1,NA
"Broad","13-2090","15-0000","13-2000","13-2090",NA,"Computer and Mathematical Occupations",1,NA
"Broad","13-2090","15-0000","15-1200","13-2090",NA,"Computer Occupations",1,NA
"Broad","15-1210","15-0000","15-1200","15-1210",NA,"Computer and Information Analysts",1,NA
"Detailed","15-1211","15-0000","15-1200","15-1210","15-1211","Computer Systems Analysts",1,NA
"Detailed","15-1212","15-0000","15-1200","15-1210","15-1212","Information Security Analysts",1,NA
"Broad","15-1220","15-0000","15-1200","15-1220",NA,"Computer and Information Research Scientists",0,NA
"Detailed","15-1221","15-0000","15-1200","15-1220","15-1221","Computer and Information Research Scientists",0,NA
"Broad","15-1230","15-0000","15-1200","15-1230",NA,"Computer Support Specialists",1,NA
"Detailed","15-1231","15-0000","15-1200","15-1230","15-1231","Computer Network Support Specialists",1,NA
"Detailed","15-1232","15-0000","15-1200","15-1230","15-1232","Computer User Support Specialists",1,NA
"Broad","15-1240","15-0000","15-1200","15-1240",NA,"Database and Network Administrators and Architects",1,NA
"Detailed","15-1241","15-0000","15-1200","15-1240","15-1241","Computer Network Architects",1,NA
"Detailed","15-1242","15-0000","15-1200","15-1240","15-1242","Database Administrators",1,NA
"Detailed","15-1243","15-0000","15-1200","15-1240","15-1243","Database Architects",1,NA
"Detailed","15-1244","15-0000","15-1200","15-1240","15-1244","Network and Computer Systems Administrators",1,NA
"Broad","15-1250","15-0000","15-1200","15-1250",NA,"Software and Web Developers, Programmers, and Testers",1,NA
"Detailed","15-1251","15-0000","15-1200","15-1250","15-1251","Computer Programmers",1,NA
"Detailed","15-1252","15-0000","15-1200","15-1250","15-1252","Software Developers",1,NA
"Detailed","15-1253","15-0000","15-1200","15-1250","15-1253","Software Quality Assurance Analysts and Testers",1,NA
"Detailed","15-1254","15-0000","15-1200","15-1250","15-1254","Web Developers",1,NA
"Detailed","15-1255","15-0000","15-1200","15-1250","15-1255","Web and Digital Interface Designers",1,NA
"Broad","15-1290","15-0000","15-1200","15-1290",NA,"Miscellaneous Computer Occupations",1,NA
"Detailed","15-1299","15-0000","15-1200","15-1290","15-1299","Computer Occupations, All Other",1,NA
"Broad","15-1290","15-0000","15-2000","15-1290",NA,"Mathematical Science Occupations",1,NA
"Broad","15-2010","15-0000","15-2000","15-2010",NA,"Actuaries",0,NA
"Detailed","15-2011","15-0000","15-2000","15-2010","15-2011","Actuaries",0,NA
"Broad","15-2020","15-0000","15-2000","15-2020",NA,"Mathematicians",0,NA
"Detailed","15-2021","15-0000","15-2000","15-2020","15-2021","Mathematicians",0,NA
"Broad","15-2030","15-0000","15-2000","15-2030",NA,"Operations Research Analysts",0,NA
"Detailed","15-2031","15-0000","15-2000","15-2030","15-2031","Operations Research Analysts",0,NA
"Broad","15-2040","15-0000","15-2000","15-2040",NA,"Statisticians",0,NA
"Detailed","15-2041","15-0000","15-2000","15-2040","15-2041","Statisticians",0,NA
"Broad","15-2050","15-0000","15-2000","15-2050",NA,"Data Scientists",0,NA
"Detailed","15-2051","15-0000","15-2000","15-2050","15-2051","Data Scientists",0,NA
"Broad","15-2090","15-0000","15-2000","15-2090",NA,"Miscellaneous Mathematical Science Occupations",0,NA
"Detailed","15-2099","15-0000","15-2000","15-2090","15-2099","Mathematical Science Occupations, All Other",0,NA
"Broad","15-2090","17-0000","15-2000","15-2090",NA,"Architecture and Engineering Occupations",0,NA
"Broad","15-2090","17-0000","17-1000","15-2090",NA,"Architects, Surveyors, and Cartographers",0,NA
"Broad","17-1010","17-0000","17-1000","17-1010",NA,"Architects, Except Naval",0,NA
"Detailed","17-1011","17-0000","17-1000","17-1010","17-1011","Architects, Except Landscape and Naval",0,NA
"Detailed","17-1012","17-0000","17-1000","17-1010","17-1012","Landscape Architects",0,NA
"Broad","17-1020","17-0000","17-1000","17-1020",NA,"Surveyors, Cartographers, and Photogrammetrists",0,NA
"Detailed","17-1021","17-0000","17-1000","17-1020","17-1021","Cartographers and Photogrammetrists",0,NA
"Detailed","17-1022","17-0000","17-1000","17-1020","17-1022","Surveyors",0,NA
"Broad","17-1020","17-0000","17-2000","17-1020",NA,"Engineers",0,NA
"Broad","17-2010","17-0000","17-2000","17-2010",NA,"Aerospace Engineers",1,NA
"Detailed","17-2011","17-0000","17-2000","17-2010","17-2011","Aerospace Engineers",1,NA
"Broad","17-2020","17-0000","17-2000","17-2020",NA,"Agricultural Engineers",0,NA
"Detailed","17-2021","17-0000","17-2000","17-2020","17-2021","Agricultural Engineers",0,NA
"Broad","17-2030","17-0000","17-2000","17-2030",NA,"Bioengineers and Biomedical Engineers",1,NA
"Detailed","17-2031","17-0000","17-2000","17-2030","17-2031","Bioengineers and Biomedical Engineers",1,NA
"Broad","17-2040","17-0000","17-2000","17-2040",NA,"Chemical Engineers",1,NA
"Detailed","17-2041","17-0000","17-2000","17-2040","17-2041","Chemical Engineers",1,NA
"Broad","17-2050","17-0000","17-2000","17-2050",NA,"Civil Engineers",1,NA
"Detailed","17-2051","17-0000","17-2000","17-2050","17-2051","Civil Engineers",1,NA
"Broad","17-2060","17-0000","17-2000","17-2060",NA,"Computer Hardware Engineers",1,NA
"Detailed","17-2061","17-0000","17-2000","17-2060","17-2061","Computer Hardware Engineers",1,NA
"Broad","17-2070","17-0000","17-2000","17-2070",NA,"Electrical and Electronics Engineers",1,NA
"Detailed","17-2071","17-0000","17-2000","17-2070","17-2071","Electrical Engineers",1,NA
"Detailed","17-2072","17-0000","17-2000","17-2070","17-2072","Electronics Engineers, Except Computer",1,NA
"Broad","17-2080","17-0000","17-2000","17-2080",NA,"Environmental Engineers",1,NA
"Detailed","17-2081","17-0000","17-2000","17-2080","17-2081","Environmental Engineers",1,NA
"Broad","17-2110","17-0000","17-2000","17-2110",NA,"Industrial Engineers, Including Health and Safety",1,NA
"Detailed","17-2111","17-0000","17-2000","17-2110","17-2111","Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",1,NA
"Detailed","17-2112","17-0000","17-2000","17-2110","17-2112","Industrial Engineers",1,NA
"Broad","17-2120","17-0000","17-2000","17-2120",NA,"Marine Engineers and Naval Architects",1,NA
"Detailed","17-2121","17-0000","17-2000","17-2120","17-2121","Marine Engineers and Naval Architects",1,NA
"Broad","17-2130","17-0000","17-2000","17-2130",NA,"Materials Engineers",1,NA
"Detailed","17-2131","17-0000","17-2000","17-2130","17-2131","Materials Engineers",1,NA
"Broad","17-2140","17-0000","17-2000","17-2140",NA,"Mechanical Engineers",1,NA
"Detailed","17-2141","17-0000","17-2000","17-2140","17-2141","Mechanical Engineers",1,NA
"Broad","17-2150","17-0000","17-2000","17-2150",NA,"Mining and Geological Engineers, Including Mining Safety Engineers",0,NA
"Detailed","17-2151","17-0000","17-2000","17-2150","17-2151","Mining and Geological Engineers, Including Mining Safety Engineers",0,NA
"Broad","17-2160","17-0000","17-2000","17-2160",NA,"Nuclear Engineers",0,NA
"Detailed","17-2161","17-0000","17-2000","17-2160","17-2161","Nuclear Engineers",0,NA
"Broad","17-2170","17-0000","17-2000","17-2170",NA,"Petroleum Engineers",1,NA
"Detailed","17-2171","17-0000","17-2000","17-2170","17-2171","Petroleum Engineers",1,NA
"Broad","17-2190","17-0000","17-2000","17-2190",NA,"Miscellaneous Engineers",1,NA
"Detailed","17-2199","17-0000","17-2000","17-2190","17-2199","Engineers, All Other",1,NA
"Broad","17-2190","17-0000","17-3000","17-2190",NA,"Drafters, Engineering Technicians, and Mapping Technicians",1,NA
"Broad","17-3010","17-0000","17-3000","17-3010",NA,"Drafters",0,NA
"Detailed","17-3011","17-0000","17-3000","17-3010","17-3011","Architectural and Civil Drafters",0,NA
"Detailed","17-3012","17-0000","17-3000","17-3010","17-3012","Electrical and Electronics Drafters",0,NA
"Detailed","17-3013","17-0000","17-3000","17-3010","17-3013","Mechanical Drafters",0,NA
"Detailed","17-3019","17-0000","17-3000","17-3010","17-3019","Drafters, All Other",0,NA
"Broad","17-3020","17-0000","17-3000","17-3020",NA,"Engineering Technologists and Technicians, Except Drafters",1,NA
"Detailed","17-3021","17-0000","17-3000","17-3020","17-3021","Aerospace Engineering and Operations Technologists and Technicians",1,NA
"Detailed","17-3022","17-0000","17-3000","17-3020","17-3022","Civil Engineering Technologists and Technicians",1,NA
"Detailed","17-3023","17-0000","17-3000","17-3020","17-3023","Electrical and Electronic Engineering Technologists and Technicians",1,NA
"Detailed","17-3024","17-0000","17-3000","17-3020","17-3024","Electro-Mechanical and Mechatronics Technologists and Technicians",1,NA
"Detailed","17-3025","17-0000","17-3000","17-3020","17-3025","Environmental Engineering Technologists and Technicians",1,NA
"Detailed","17-3026","17-0000","17-3000","17-3020","17-3026","Industrial Engineering Technologists and Technicians",1,NA
"Detailed","17-3027","17-0000","17-3000","17-3020","17-3027","Mechanical Engineering Technologists and Technicians",1,NA
"Detailed","17-3028","17-0000","17-3000","17-3020","17-3028","Calibration Technologists and Technicians",1,NA
"Detailed","17-3029","17-0000","17-3000","17-3020","17-3029","Engineering Technologists and Technicians, Except Drafters, All Other",1,NA
"Broad","17-3030","17-0000","17-3000","17-3030",NA,"Surveying and Mapping Technicians",0,NA
"Detailed","17-3031","17-0000","17-3000","17-3030","17-3031","Surveying and Mapping Technicians",0,NA
"Broad","17-3030","19-0000","17-3000","17-3030",NA,"Life, Physical, and Social Science Occupations",0,NA
"Broad","17-3030","19-0000","19-1000","17-3030",NA,"Life Scientists",0,NA
"Broad","19-1010","19-0000","19-1000","19-1010",NA,"Agricultural and Food Scientists",1,NA
"Detailed","19-1011","19-0000","19-1000","19-1010","19-1011","Animal Scientists",1,NA
"Detailed","19-1012","19-0000","19-1000","19-1010","19-1012","Food Scientists and Technologists",1,NA
"Detailed","19-1013","19-0000","19-1000","19-1010","19-1013","Soil and Plant Scientists",1,NA
"Broad","19-1020","19-0000","19-1000","19-1020",NA,"Biological Scientists",1,NA
"Detailed","19-1021","19-0000","19-1000","19-1020","19-1021","Biochemists and Biophysicists",1,NA
"Detailed","19-1022","19-0000","19-1000","19-1020","19-1022","Microbiologists",1,NA
"Detailed","19-1023","19-0000","19-1000","19-1020","19-1023","Zoologists and Wildlife Biologists",1,NA
"Detailed","19-1029","19-0000","19-1000","19-1020","19-1029","Biological Scientists, All Other",1,NA
"Broad","19-1030","19-0000","19-1000","19-1030",NA,"Conservation Scientists and Foresters",1,NA
"Detailed","19-1031","19-0000","19-1000","19-1030","19-1031","Conservation Scientists",1,NA
"Detailed","19-1032","19-0000","19-1000","19-1030","19-1032","Foresters",1,NA
"Broad","19-1040","19-0000","19-1000","19-1040",NA,"Medical Scientists",1,NA
"Detailed","19-1041","19-0000","19-1000","19-1040","19-1041","Epidemiologists",1,NA
"Detailed","19-1042","19-0000","19-1000","19-1040","19-1042","Medical Scientists, Except Epidemiologists",1,NA
"Broad","19-1090","19-0000","19-1000","19-1090",NA,"Miscellaneous Life Scientists",0,NA
"Detailed","19-1099","19-0000","19-1000","19-1090","19-1099","Life Scientists, All Other",0,NA
"Broad","19-1090","19-0000","19-2000","19-1090",NA,"Physical Scientists",0,NA
"Broad","19-2010","19-0000","19-2000","19-2010",NA,"Astronomers and Physicists",0,NA
"Detailed","19-2011","19-0000","19-2000","19-2010","19-2011","Astronomers",0,NA
"Detailed","19-2012","19-0000","19-2000","19-2010","19-2012","Physicists",0,NA
"Broad","19-2020","19-0000","19-2000","19-2020",NA,"Atmospheric and Space Scientists",0,NA
"Detailed","19-2021","19-0000","19-2000","19-2020","19-2021","Atmospheric and Space Scientists",0,NA
"Broad","19-2030","19-0000","19-2000","19-2030",NA,"Chemists and Materials Scientists",1,NA
"Detailed","19-2031","19-0000","19-2000","19-2030","19-2031","Chemists",1,NA
"Detailed","19-2032","19-0000","19-2000","19-2030","19-2032","Materials Scientists",1,NA
"Broad","19-2040","19-0000","19-2000","19-2040",NA,"Environmental Scientists and Geoscientists",0,NA
"Detailed","19-2041","19-0000","19-2000","19-2040","19-2041","Environmental Scientists and Specialists, Including Health",0,NA
"Detailed","19-2042","19-0000","19-2000","19-2040","19-2042","Geoscientists, Except Hydrologists and Geographers",0,NA
"Detailed","19-2043","19-0000","19-2000","19-2040","19-2043","Hydrologists",0,NA
"Broad","19-2090","19-0000","19-2000","19-2090",NA,"Miscellaneous Physical Scientists",0,NA
"Detailed","19-2099","19-0000","19-2000","19-2090","19-2099","Physical Scientists, All Other",0,NA
"Broad","19-2090","19-0000","19-3000","19-2090",NA,"Social Scientists and Related Workers",0,NA
"Broad","19-3010","19-0000","19-3000","19-3010",NA,"Economists",0,NA
"Detailed","19-3011","19-0000","19-3000","19-3010","19-3011","Economists",0,NA
"Broad","19-3020","19-0000","19-3000","19-3020",NA,"Survey Researchers",0,NA
"Detailed","19-3022","19-0000","19-3000","19-3020","19-3022","Survey Researchers",0,NA
"Broad","19-3030","19-0000","19-3000","19-3030",NA,"Psychologists",1,NA
"Detailed","19-3032","19-0000","19-3000","19-3030","19-3032","Industrial-Organizational Psychologists",1,NA
"Detailed","19-3033","19-0000","19-3000","19-3030","19-3033","Clinical and Counseling Psychologists",1,NA
"Detailed","19-3034","19-0000","19-3000","19-3030","19-3034","School Psychologists",1,NA
"Detailed","19-3039","19-0000","19-3000","19-3030","19-3039","Psychologists, All Other",1,NA
"Broad","19-3040","19-0000","19-3000","19-3040",NA,"Sociologists",0,NA
"Detailed","19-3041","19-0000","19-3000","19-3040","19-3041","Sociologists",0,NA
"Broad","19-3050","19-0000","19-3000","19-3050",NA,"Urban and Regional Planners",0,NA
"Detailed","19-3051","19-0000","19-3000","19-3050","19-3051","Urban and Regional Planners",0,NA
"Broad","19-3090","19-0000","19-3000","19-3090",NA,"Miscellaneous Social Scientists and Related Workers",0,NA
"Detailed","19-3091","19-0000","19-3000","19-3090","19-3091","Anthropologists and Archeologists",0,NA
"Detailed","19-3092","19-0000","19-3000","19-3090","19-3092","Geographers",0,NA
"Detailed","19-3093","19-0000","19-3000","19-3090","19-3093","Historians",0,NA
"Detailed","19-3094","19-0000","19-3000","19-3090","19-3094","Political Scientists",0,NA
"Detailed","19-3099","19-0000","19-3000","19-3090","19-3099","Social Scientists and Related Workers, All Other",0,NA
"Broad","19-3090","19-0000","19-4000","19-3090",NA,"Life, Physical, and Social Science Technicians",0,NA
"Broad","19-4010","19-0000","19-4000","19-4010",NA,"Agricultural and Food Science Technicians",1,NA
"Detailed","19-4012","19-0000","19-4000","19-4010","19-4012","Agricultural Technicians",1,NA
"Detailed","19-4013","19-0000","19-4000","19-4010","19-4013","Food Science Technicians",1,NA
"Broad","19-4020","19-0000","19-4000","19-4020",NA,"Biological Technicians",1,NA
"Detailed","19-4021","19-0000","19-4000","19-4020","19-4021","Biological Technicians",1,NA
