"major","minor","broad","detailed","title","notes"
"11-0000","11-9000","11-9030","11-9039","Education Administrators, All Other",NA
"11-0000","11-9000","11-9040",NA,"Architectural and Engineering Managers",NA
"11-0000","11-9000","11-9040","11-9041","Architectural and Engineering Managers",NA
"11-0000","11-9000","11-9050",NA,"Food Service Managers",NA
"11-0000","11-9000","11-9050","11-9051","Food Service Managers",NA
"11-0000","11-9000","11-9070",NA,"Entertainment and Recreation Managers",NA
"11-0000","11-9000","11-9070","11-9071","Gambling Managers",NA
"11-0000","11-9000","11-9070","11-9072","Entertainment and Recreation Managers, Except Gambling",NA
"11-0000","11-9000","11-9080",NA,"Lodging Managers",NA
"11-0000","11-9000","11-9080","11-9081","Lodging Managers",NA
"11-0000","11-9000","11-9110",NA,"Medical and Health Services Managers",NA
"11-0000","11-9000","11-9110","11-9111","Medical and Health Services Managers",NA
"11-0000","11-9000","11-9120",NA,"Natural Sciences Managers",NA
"11-0000","11-9000","11-9120","11-9121","Natural Sciences Managers",NA
"11-0000","11-9000","11-9130",NA,"Postmasters and Mail Superintendents",NA
"11-0000","11-9000","11-9130","11-9131","Postmasters and Mail Superintendents",NA
"11-0000","11-9000","11-9140",NA,"Property, Real Estate, and Community Association Managers",NA
"11-0000","11-9000","11-9140","11-9141","Property, Real Estate, and Community Association Managers",NA
"11-0000","11-9000","11-9150",NA,"Social and Community Service Managers",NA
"11-0000","11-9000","11-9150","11-9151","Social and Community Service Managers",NA
"11-0000","11-9000","11-9160",NA,"Emergency Management Directors",NA
"11-0000","11-9000","11-9160","11-9161","Emergency Management Directors",NA
"11-0000","11-9000","11-9170",NA,"Personal Service Managers",NA
"11-0000","11-9000","11-9170","11-9171","Funeral Home Managers",NA
"11-0000","11-9000","11-9170","11-9179","Personal Service Managers, All Other",NA
"11-0000","11-9000","11-9190",NA,"Miscellaneous Managers",NA
"11-0000","11-9000","11-9190","11-9199","Managers, All Other",NA
"13-0000","11-9000","11-9190",NA,"Business and Financial Operations Occupations",NA
"13-0000","13-1000","11-9190",NA,"Business Operations Specialists",NA
"13-0000","13-1000","13-1010",NA,"Agents and Business Managers of Artists, Performers, and Athletes",NA
"13-0000","13-1000","13-1010","13-1011","Agents and Business Managers of Artists, Performers, and Athletes",NA
"13-0000","13-1000","13-1020",NA,"Buyers and Purchasing Agents",NA
"13-0000","13-1000","13-1020","13-1021","Buyers and Purchasing Agents, Farm Products",NA
"13-0000","13-1000","13-1020","13-1022","Wholesale and Retail Buyers, Except Farm Products",NA
"13-0000","13-1000","13-1020","13-1023","Purchasing Agents, Except Wholesale, Retail, and Farm Products",NA
"13-0000","13-1000","13-1030",NA,"Claims Adjusters, Appraisers, Examiners, and Investigators",NA
"13-0000","13-1000","13-1030","13-1031","Claims Adjusters, Examiners, and Investigators",NA
"13-0000","13-1000","13-1030","13-1032","Insurance Appraisers, Auto Damage",NA
"13-0000","13-1000","13-1040",NA,"Compliance Officers",NA
"13-0000","13-1000","13-1040","13-1041","Compliance Officers",NA
"13-0000","13-1000","13-1050",NA,"Cost Estimators",NA
"13-0000","13-1000","13-1050","13-1051","Cost Estimators",NA
"13-0000","13-1000","13-1070",NA,"Human Resources Workers",NA
"13-0000","13-1000","13-1070","13-1071","Human Resources Specialists",NA
"13-0000","13-1000","13-1070","13-1074","Farm Labor Contractors",NA
"13-0000","13-1000","13-1070","13-1075","Labor Relations Specialists",NA
"13-0000","13-1000","13-1080",NA,"Logisticians and Project Management Specialists",NA
"13-0000","13-1000","13-1080","13-1081","Logisticians",NA
"13-0000","13-1000","13-1080","13-1082","Project Management Specialists",NA
"13-0000","13-1000","13-1110",NA,"Management Analysts",NA
"13-0000","13-1000","13-1110","13-1111","Management Analysts",NA
"13-0000","13-1000","13-1120",NA,"Meeting, Convention, and Event Planners",NA
"13-0000","13-1000","13-1120","13-1121","Meeting, Convention, and Event Planners",NA
"13-0000","13-1000","13-1130",NA,"Fundraisers",NA
"13-0000","13-1000","13-1130","13-1131","Fundraisers",NA
"13-0000","13-1000","13-1140",NA,"Compensation, Benefits, and Job Analysis Specialists",NA
"13-0000","13-1000","13-1140","13-1141","Compensation, Benefits, and Job Analysis Specialists",NA
"13-0000","13-1000","13-1150",NA,"Training and Development Specialists",NA
"13-0000","13-1000","13-1150","13-1151","Training and Development Specialists",NA
"13-0000","13-1000","13-1160",NA,"Market Research Analysts and Marketing Specialists",NA
"13-0000","13-1000","13-1160","13-1161","Market Research Analysts and Marketing Specialists",NA
"13-0000","13-1000","13-1190",NA,"Miscellaneous Business Operations Specialists",NA
"13-0000","13-1000","13-1190","13-1199","Business Operations Specialists, All Other",NA
"13-0000","13-2000","13-1190",NA,"Financial Specialists",NA
"13-0000","13-2000","13-2010",NA,"Accountants and Auditors",NA
"13-0000","13-2000","13-2010","13-2011","Accountants and Auditors",NA
"13-0000","13-2000","13-2020",NA,"Property Appraisers and Assessors",NA
"13-0000","13-2000","13-2020","13-2022","Appraisers of Personal and Business Property",NA
"13-0000","13-2000","13-2020","13-2023","Appraisers and Assessors of Real Estate",NA
"13-0000","13-2000","13-2030",NA,"Budget Analysts",NA
"13-0000","13-2000","13-2030","13-2031","Budget Analysts",NA
"13-0000","13-2000","13-2040",NA,"Credit Analysts",NA
"13-0000","13-2000","13-2040","13-2041","Credit Analysts",NA
"13-0000","13-2000","13-2050",NA,"Financial Analysts and Advisors",NA
"13-0000","13-2000","13-2050","13-2051","Financial and Investment Analysts",NA
"13-0000","13-2000","13-2050","13-2052","Personal Financial Advisors",NA
"13-0000","13-2000","13-2050","13-2053","Insurance Underwriters",NA
"13-0000","13-2000","13-2050","13-2054","Financial Risk Specialists",NA
"13-0000","13-2000","13-2060",NA,"Financial Examiners",NA
"13-0000","13-2000","13-2060","13-2061","Financial Examiners",NA
"13-0000","13-2000","13-2070",NA,"Credit Counselors and Loan Officers",NA
"13-0000","13-2000","13-2070","13-2071","Credit Counselors",NA
"13-0000","13-2000","13-2070","13-2072","Loan Officers",NA
"13-0000","13-2000","13-2080",NA,"Tax Examiners, Collectors and Preparers, and Revenue Agents",NA
"13-0000","13-2000","13-2080","13-2081","Tax Examiners and Collectors, and Revenue Agents",NA
"13-0000","13-2000","13-2080","13-2082","Tax Preparers",NA
"13-0000","13-2000","13-2090",NA,"Miscellaneous Financial Specialists",NA
"13-0000","13-2000","13-2090","13-2099","Financial Specialists, All Other",NA
"15-0000","13-2000","13-2090",NA,"Computer and Mathematical Occupations",NA
"15-0000","15-1200","13-2090",NA,"Computer Occupations",NA
"15-0000","15-1200","15-1210",NA,"Computer and Information Analysts",NA
"15-0000","15-1200","15-1210","15-1211","Computer Systems Analysts",NA
"15-0000","15-1200","15-1210","15-1212","Information Security Analysts",NA
"15-0000","15-1200","15-1220",NA,"Computer and Information Research Scientists",NA
"15-0000","15-1200","15-1220","15-1221","Computer and Information Research Scientists",NA
"15-0000","15-1200","15-1230",NA,"Computer Support Specialists",NA
"15-0000","15-1200","15-1230","15-1231","Computer Network Support Specialists",NA
"15-0000","15-1200","15-1230","15-1232","Computer User Support Specialists",NA
"15-0000","15-1200","15-1240",NA,"Database and Network Administrators and Architects",NA
"15-0000","15-1200","15-1240","15-1241","Computer Network Architects",NA
"15-0000","15-1200","15-1240","15-1242","Database Administrators",NA
"15-0000","15-1200","15-1240","15-1243","Database Architects",NA
"15-0000","15-1200","15-1240","15-1244","Network and Computer Systems Administrators",NA
"15-0000","15-1200","15-1250",NA,"Software and Web Developers, Programmers, and Testers",NA
"15-0000","15-1200","15-1250","15-1251","Computer Programmers",NA
"15-0000","15-1200","15-1250","15-1252","Software Developers",NA
"15-0000","15-1200","15-1250","15-1253","Software Quality Assurance Analysts and Testers",NA
"15-0000","15-1200","15-1250","15-1254","Web Developers",NA
"15-0000","15-1200","15-1250","15-1255","Web and Digital Interface Designers",NA
"15-0000","15-1200","15-1290",NA,"Miscellaneous Computer Occupations",NA
"15-0000","15-1200","15-1290","15-1299","Computer Occupations, All Other",NA
"15-0000","15-2000","15-1290",NA,"Mathematical Science Occupations",NA
"15-0000","15-2000","15-2010",NA,"Actuaries",NA
"15-0000","15-2000","15-2010","15-2011","Actuaries",NA
"15-0000","15-2000","15-2020",NA,"Mathematicians",NA
"15-0000","15-2000","15-2020","15-2021","Mathematicians",NA
"15-0000","15-2000","15-2030",NA,"Operations Research Analysts",NA
"15-0000","15-2000","15-2030","15-2031","Operations Research Analysts",NA
"15-0000","15-2000","15-2040",NA,"Statisticians",NA
"15-0000","15-2000","15-2040","15-2041","Statisticians",NA
"15-0000","15-2000","15-2050",NA,"Data Scientists",NA
"15-0000","15-2000","15-2050","15-2051","Data Scientists",NA
"15-0000","15-2000","15-2090",NA,"Miscellaneous Mathematical Science Occupations",NA
"15-0000","15-2000","15-2090","15-2099","Mathematical Science Occupations, All Other",NA
"17-0000","15-2000","15-2090",NA,"Architecture and Engineering Occupations",NA
"17-0000","17-1000","15-2090",NA,"Architects, Surveyors, and Cartographers",NA
"17-0000","17-1000","17-1010",NA,"Architects, Except Naval",NA
"17-0000","17-1000","17-1010","17-1011","Architects, Except Landscape and Naval",NA
"17-0000","17-1000","17-1010","17-1012","Landscape Architects",NA
"17-0000","17-1000","17-1020",NA,"Surveyors, Cartographers, and Photogrammetrists",NA
"17-0000","17-1000","17-1020","17-1021","Cartographers and Photogrammetrists",NA
"17-0000","17-1000","17-1020","17-1022","Surveyors",NA
"17-0000","17-2000","17-1020",NA,"Engineers",NA
"17-0000","17-2000","17-2010",NA,"Aerospace Engineers",NA
"17-0000","17-2000","17-2010","17-2011","Aerospace Engineers",NA
"17-0000","17-2000","17-2020",NA,"Agricultural Engineers",NA
"17-0000","17-2000","17-2020","17-2021","Agricultural Engineers",NA
"17-0000","17-2000","17-2030",NA,"Bioengineers and Biomedical Engineers",NA
"17-0000","17-2000","17-2030","17-2031","Bioengineers and Biomedical Engineers",NA
"17-0000","17-2000","17-2040",NA,"Chemical Engineers",NA
"17-0000","17-2000","17-2040","17-2041","Chemical Engineers",NA
"17-0000","17-2000","17-2050",NA,"Civil Engineers",NA
"17-0000","17-2000","17-2050","17-2051","Civil Engineers",NA
"17-0000","17-2000","17-2060",NA,"Computer Hardware Engineers",NA
"17-0000","17-2000","17-2060","17-2061","Computer Hardware Engineers",NA
"17-0000","17-2000","17-2070",NA,"Electrical and Electronics Engineers",NA
"17-0000","17-2000","17-2070","17-2071","Electrical Engineers",NA
"17-0000","17-2000","17-2070","17-2072","Electronics Engineers, Except Computer",NA
"17-0000","17-2000","17-2080",NA,"Environmental Engineers",NA
"17-0000","17-2000","17-2080","17-2081","Environmental Engineers",NA
"17-0000","17-2000","17-2110",NA,"Industrial Engineers, Including Health and Safety",NA
"17-0000","17-2000","17-2110","17-2111","Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",NA
"17-0000","17-2000","17-2110","17-2112","Industrial Engineers",NA
"17-0000","17-2000","17-2120",NA,"Marine Engineers and Naval Architects",NA
"17-0000","17-2000","17-2120","17-2121","Marine Engineers and Naval Architects",NA
"17-0000","17-2000","17-2130",NA,"Materials Engineers",NA
"17-0000","17-2000","17-2130","17-2131","Materials Engineers",NA
"17-0000","17-2000","17-2140",NA,"Mechanical Engineers",NA
"17-0000","17-2000","17-2140","17-2141","Mechanical Engineers",NA
"17-0000","17-2000","17-2150",NA,"Mining and Geological Engineers, Including Mining Safety Engineers",NA
"17-0000","17-2000","17-2150","17-2151","Mining and Geological Engineers, Including Mining Safety Engineers",NA
"17-0000","17-2000","17-2160",NA,"Nuclear Engineers",NA
"17-0000","17-2000","17-2160","17-2161","Nuclear Engineers",NA
"17-0000","17-2000","17-2170",NA,"Petroleum Engineers",NA
"17-0000","17-2000","17-2170","17-2171","Petroleum Engineers",NA
"17-0000","17-2000","17-2190",NA,"Miscellaneous Engineers",NA
"17-0000","17-2000","17-2190","17-2199","Engineers, All Other",NA
"17-0000","17-3000","17-2190",NA,"Drafters, Engineering Technicians, and Mapping Technicians",NA
"17-0000","17-3000","17-3010",NA,"Drafters",NA
"17-0000","17-3000","17-3010","17-3011","Architectural and Civil Drafters",NA
"17-0000","17-3000","17-3010","17-3012","Electrical and Electronics Drafters",NA
"17-0000","17-3000","17-3010","17-3013","Mechanical Drafters",NA
"17-0000","17-3000","17-3010","17-3019","Drafters, All Other",NA
"17-0000","17-3000","17-3020",NA,"Engineering Technologists and Technicians, Except Drafters",NA
"17-0000","17-3000","17-3020","17-3021","Aerospace Engineering and Operations Technologists and Technicians",NA
"17-0000","17-3000","17-3020","17-3022","Civil Engineering Technologists and Technicians",NA
"17-0000","17-3000","17-3020","17-3023","Electrical and Electronic Engineering Technologists and Technicians",NA
"17-0000","17-3000","17-3020","17-3024","Electro-Mechanical and Mechatronics Technologists and Technicians",NA
"17-0000","17-3000","17-3020","17-3025","Environmental Engineering Technologists and Technicians",NA
"17-0000","17-3000","17-3020","17-3026","Industrial Engineering Technologists and Technicians",NA
"17-0000","17-3000","17-3020","17-3027","Mechanical Engineering Technologists and Technicians",NA
"17-0000","17-3000","17-3020","17-3028","Calibration Technologists and Technicians",NA
"17-0000","17-3000","17-3020","17-3029","Engineering Technologists and Technicians, Except Drafters, All Other",NA
"17-0000","17-3000","17-3030",NA,"Surveying and Mapping Technicians",NA
"17-0000","17-3000","17-3030","17-3031","Surveying and Mapping Technicians",NA
"19-0000","17-3000","17-3030",NA,"Life, Physical, and Social Science Occupations",NA
"19-0000","19-1000","17-3030",NA,"Life Scientists",NA
"19-0000","19-1000","19-1010",NA,"Agricultural and Food Scientists",NA
"19-0000","19-1000","19-1010","19-1011","Animal Scientists",NA
"19-0000","19-1000","19-1010","19-1012","Food Scientists and Technologists",NA
"19-0000","19-1000","19-1010","19-1013","Soil and Plant Scientists",NA
"19-0000","19-1000","19-1020",NA,"Biological Scientists",NA
"19-0000","19-1000","19-1020","19-1021","Biochemists and Biophysicists",NA
"19-0000","19-1000","19-1020","19-1022","Microbiologists",NA
"19-0000","19-1000","19-1020","19-1023","Zoologists and Wildlife Biologists",NA
"19-0000","19-1000","19-1020","19-1029","Biological Scientists, All Other",NA
"19-0000","19-1000","19-1030",NA,"Conservation Scientists and Foresters",NA
"19-0000","19-1000","19-1030","19-1031","Conservation Scientists",NA
"19-0000","19-1000","19-1030","19-1032","Foresters",NA
"19-0000","19-1000","19-1040",NA,"Medical Scientists",NA
"19-0000","19-1000","19-1040","19-1041","Epidemiologists",NA
"19-0000","19-1000","19-1040","19-1042","Medical Scientists, Except Epidemiologists",NA
"19-0000","19-1000","19-1090",NA,"Miscellaneous Life Scientists",NA
"19-0000","19-1000","19-1090","19-1099","Life Scientists, All Other",NA
"19-0000","19-2000","19-1090",NA,"Physical Scientists",NA
"19-0000","19-2000","19-2010",NA,"Astronomers and Physicists",NA
"19-0000","19-2000","19-2010","19-2011","Astronomers",NA
"19-0000","19-2000","19-2010","19-2012","Physicists",NA
"19-0000","19-2000","19-2020",NA,"Atmospheric and Space Scientists",NA
"19-0000","19-2000","19-2020","19-2021","Atmospheric and Space Scientists",NA
"19-0000","19-2000","19-2030",NA,"Chemists and Materials Scientists",NA
"19-0000","19-2000","19-2030","19-2031","Chemists",NA
"19-0000","19-2000","19-2030","19-2032","Materials Scientists",NA
"19-0000","19-2000","19-2040",NA,"Environmental Scientists and Geoscientists",NA
"19-0000","19-2000","19-2040","19-2041","Environmental Scientists and Specialists, Including Health",NA
"19-0000","19-2000","19-2040","19-2042","Geoscientists, Except Hydrologists and Geographers",NA
"19-0000","19-2000","19-2040","19-2043","Hydrologists",NA
"19-0000","19-2000","19-2090",NA,"Miscellaneous Physical Scientists",NA
"19-0000","19-2000","19-2090","19-2099","Physical Scientists, All Other",NA
"19-0000","19-3000","19-2090",NA,"Social Scientists and Related Workers",NA
"19-0000","19-3000","19-3010",NA,"Economists",NA
"19-0000","19-3000","19-3010","19-3011","Economists",NA
"19-0000","19-3000","19-3020",NA,"Survey Researchers",NA
"19-0000","19-3000","19-3020","19-3022","Survey Researchers",NA
"19-0000","19-3000","19-3030",NA,"Psychologists",NA
"19-0000","19-3000","19-3030","19-3032","Industrial-Organizational Psychologists",NA
"19-0000","19-3000","19-3030","19-3033","Clinical and Counseling Psychologists",NA
"19-0000","19-3000","19-3030","19-3034","School Psychologists",NA
"19-0000","19-3000","19-3030","19-3039","Psychologists, All Other",NA
"19-0000","19-3000","19-3040",NA,"Sociologists",NA
"19-0000","19-3000","19-3040","19-3041","Sociologists",NA
"19-0000","19-3000","19-3050",NA,"Urban and Regional Planners",NA
"19-0000","19-3000","19-3050","19-3051","Urban and Regional Planners",NA
"19-0000","19-3000","19-3090",NA,"Miscellaneous Social Scientists and Related Workers",NA
"19-0000","19-3000","19-3090","19-3091","Anthropologists and Archeologists",NA
"19-0000","19-3000","19-3090","19-3092","Geographers",NA
"19-0000","19-3000","19-3090","19-3093","Historians",NA
"19-0000","19-3000","19-3090","19-3094","Political Scientists",NA
"19-0000","19-3000","19-3090","19-3099","Social Scientists and Related Workers, All Other",NA
"19-0000","19-4000","19-3090",NA,"Life, Physical, and Social Science Technicians",NA
"19-0000","19-4000","19-4010",NA,"Agricultural and Food Science Technicians",NA
"19-0000","19-4000","19-4010","19-4012","Agricultural Technicians",NA
"19-0000","19-4000","19-4010","19-4013","Food Science Technicians",NA
"19-0000","19-4000","19-4020",NA,"Biological Technicians",NA
"19-0000","19-4000","19-4020","19-4021","Biological Technicians",NA
"19-0000","19-4000","19-4030",NA,"Chemical Technicians",NA
"19-0000","19-4000","19-4030","19-4031","Chemical Technicians",NA
"19-0000","19-4000","19-4040",NA,"Environmental Science and Geoscience Technicians",NA
"19-0000","19-4000","19-4040","19-4042","Environmental Science and Protection Technicians, Including Health",NA
"19-0000","19-4000","19-4040","19-4043","Geological Technicians, Except Hydrologic Technicians",NA
"19-0000","19-4000","19-4040","19-4044","Hydrologic Technicians",NA
"19-0000","19-4000","19-4050",NA,"Nuclear Technicians",NA
"19-0000","19-4000","19-4050","19-4051","Nuclear Technicians",NA
"19-0000","19-4000","19-4060",NA,"Social Science Research Assistants",NA
"19-0000","19-4000","19-4060","19-4061","Social Science Research Assistants",NA
"19-0000","19-4000","19-4070",NA,"Forest and Conservation Technicians",NA
"19-0000","19-4000","19-4070","19-4071","Forest and Conservation Technicians",NA
"19-0000","19-4000","19-4090",NA,"Miscellaneous Life, Physical, and Social Science Technicians",NA
"19-0000","19-4000","19-4090","19-4092","Forensic Science Technicians",NA
"19-0000","19-4000","19-4090","19-4099","Life, Physical, and Social Science Technicians, All Other",NA
"19-0000","19-5000","19-4090",NA,"Occupational Health and Safety Specialists and Technicians",NA
"19-0000","19-5000","19-5010",NA,"Occupational Health and Safety Specialists and Technicians",NA
"19-0000","19-5000","19-5010","19-5011","Occupational Health and Safety Specialists",NA
"19-0000","19-5000","19-5010","19-5012","Occupational Health and Safety Technicians",NA
"21-0000","19-5000","19-5010",NA,"Community and Social Service Occupations",NA
"21-0000","21-1000","19-5010",NA,"Counselors, Social Workers, and Other Community and Social Service Specialists",NA
"21-0000","21-1000","21-1010",NA,"Counselors",NA
"21-0000","21-1000","21-1010","21-1011","Substance Abuse and Behavioral Disorder Counselors",NA
"21-0000","21-1000","21-1010","21-1012","Educational, Guidance, and Career Counselors and Advisors",NA
"21-0000","21-1000","21-1010","21-1013","Marriage and Family Therapists",NA
"21-0000","21-1000","21-1010","21-1014","Mental Health Counselors",NA
"21-0000","21-1000","21-1010","21-1015","Rehabilitation Counselors",NA
"21-0000","21-1000","21-1010","21-1019","Counselors, All Other",NA
"21-0000","21-1000","21-1020",NA,"Social Workers",NA
"21-0000","21-1000","21-1020","21-1021","Child, Family, and School Social Workers",NA
"21-0000","21-1000","21-1020","21-1022","Healthcare Social Workers",NA
"21-0000","21-1000","21-1020","21-1023","Mental Health and Substance Abuse Social Workers",NA
"21-0000","21-1000","21-1020","21-1029","Social Workers, All Other",NA
"21-0000","21-1000","21-1090",NA,"Miscellaneous Community and Social Service Specialists",NA
"21-0000","21-1000","21-1090","21-1091","Health Education Specialists",NA
"21-0000","21-1000","21-1090","21-1092","Probation Officers and Correctional Treatment Specialists",NA
"21-0000","21-1000","21-1090","21-1093","Social and Human Service Assistants",NA
"21-0000","21-1000","21-1090","21-1094","Community Health Workers",NA
"21-0000","21-1000","21-1090","21-1099","Community and Social Service Specialists, All Other",NA
"21-0000","21-2000","21-1090",NA,"Religious Workers",NA
"21-0000","21-2000","21-2010",NA,"Clergy",NA
"21-0000","21-2000","21-2010","21-2011","Clergy",NA
"21-0000","21-2000","21-2020",NA,"Directors, Religious Activities and Education",NA
"21-0000","21-2000","21-2020","21-2021","Directors, Religious Activities and Education",NA
"21-0000","21-2000","21-2090",NA,"Miscellaneous Religious Workers",NA
"21-0000","21-2000","21-2090","21-2099","Religious Workers, All Other",NA
"23-0000","21-2000","21-2090",NA,"Legal Occupations",NA
"23-0000","23-1000","21-2090",NA,"Lawyers, Judges, and Related Workers",NA
"23-0000","23-1000","23-1010",NA,"Lawyers and Judicial Law Clerks",NA
"23-0000","23-1000","23-1010","23-1011","Lawyers",NA
"23-0000","23-1000","23-1010","23-1012","Judicial Law Clerks",NA
"23-0000","23-1000","23-1020",NA,"Judges, Magistrates, and Other Judicial Workers",NA
"23-0000","23-1000","23-1020","23-1021","Administrative Law Judges, Adjudicators, and Hearing Officers",NA
"23-0000","23-1000","23-1020","23-1022","Arbitrators, Mediators, and Conciliators",NA
"23-0000","23-1000","23-1020","23-1023","Judges, Magistrate Judges, and Magistrates",NA
"23-0000","23-2000","23-1020",NA,"Legal Support Workers",NA
"23-0000","23-2000","23-2010",NA,"Paralegals and Legal Assistants",NA
"23-0000","23-2000","23-2010","23-2011","Paralegals and Legal Assistants",NA
"23-0000","23-2000","23-2090",NA,"Miscellaneous Legal Support Workers",NA
"23-0000","23-2000","23-2090","23-2093","Title Examiners, Abstractors, and Searchers",NA
"23-0000","23-2000","23-2090","23-2099","Legal Support Workers, All Other",NA
"25-0000","23-2000","23-2090",NA,"Educational Instruction and Library Occupations",NA
"25-0000","25-1000","23-2090",NA,"Postsecondary Teachers",NA
"25-0000","25-1000","25-1010",NA,"Business Teachers, Postsecondary",NA
"25-0000","25-1000","25-1010","25-1011","Business Teachers, Postsecondary",NA
"25-0000","25-1000","25-1020",NA,"Math and Computer Science Teachers, Postsecondary",NA
"25-0000","25-1000","25-1020","25-1021","Computer Science Teachers, Postsecondary",NA
"25-0000","25-1000","25-1020","25-1022","Mathematical Science Teachers, Postsecondary",NA
"25-0000","25-1000","25-1030",NA,"Engineering and Architecture Teachers, Postsecondary",NA
"25-0000","25-1000","25-1030","25-1031","Architecture Teachers, Postsecondary",NA
"25-0000","25-1000","25-1030","25-1032","Engineering Teachers, Postsecondary",NA
"25-0000","25-1000","25-1040",NA,"Life Sciences Teachers, Postsecondary",NA
"25-0000","25-1000","25-1040","25-1041","Agricultural Sciences Teachers, Postsecondary",NA
"25-0000","25-1000","25-1040","25-1042","Biological Science Teachers, Postsecondary",NA
"25-0000","25-1000","25-1040","25-1043","Forestry and Conservation Science Teachers, Postsecondary",NA
"25-0000","25-1000","25-1050",NA,"Physical Sciences Teachers, Postsecondary",NA
"25-0000","25-1000","25-1050","25-1051","Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",NA
"25-0000","25-1000","25-1050","25-1052","Chemistry Teachers, Postsecondary",NA
"25-0000","25-1000","25-1050","25-1053","Environmental Science Teachers, Postsecondary",NA
"25-0000","25-1000","25-1050","25-1054","Physics Teachers, Postsecondary",NA
"25-0000","25-1000","25-1060",NA,"Social Sciences Teachers, Postsecondary",NA
"25-0000","25-1000","25-1060","25-1061","Anthropology and Archeology Teachers, Postsecondary",NA
"25-0000","25-1000","25-1060","25-1062","Area, Ethnic, and Cultural Studies Teachers, Postsecondary",NA
"25-0000","25-1000","25-1060","25-1063","Economics Teachers, Postsecondary",NA
"25-0000","25-1000","25-1060","25-1064","Geography Teachers, Postsecondary",NA
"25-0000","25-1000","25-1060","25-1065","Political Science Teachers, Postsecondary",NA
"25-0000","25-1000","25-1060","25-1066","Psychology Teachers, Postsecondary",NA
"25-0000","25-1000","25-1060","25-1067","Sociology Teachers, Postsecondary",NA
"25-0000","25-1000","25-1060","25-1069","Social Sciences Teachers, Postsecondary, All Other",NA
"25-0000","25-1000","25-1070",NA,"Health Teachers, Postsecondary",NA
"25-0000","25-1000","25-1070","25-1071","Health Specialties Teachers, Postsecondary",NA
