"major","minor","broad","detailed","major.title","minor.title","broad.title","detailed.title","notes"
"11-0000","11-3000","11-3050",NA,"Management Occupations","Operations Specialties Managers","Industrial Production Managers",NA,NA
"11-0000","11-3000","11-3050","11-3051","Management Occupations","Operations Specialties Managers","Industrial Production Managers","Industrial Production Managers",NA
"11-0000","11-3000","11-3060",NA,"Management Occupations","Operations Specialties Managers","Purchasing Managers",NA,NA
"11-0000","11-3000","11-3060","11-3061","Management Occupations","Operations Specialties Managers","Purchasing Managers","Purchasing Managers",NA
"11-0000","11-3000","11-3070",NA,"Management Occupations","Operations Specialties Managers","Transportation, Storage, and Distribution Managers",NA,NA
"11-0000","11-3000","11-3070","11-3071","Management Occupations","Operations Specialties Managers","Transportation, Storage, and Distribution Managers","Transportation, Storage, and Distribution Managers",NA
"11-0000","11-3000",NA,NA,"Management Occupations","Compensation and Benefits Managers",NA,NA,NA
"11-0000","11-3000",NA,"11-3111","Management Occupations","Compensation and Benefits Managers",NA,"Compensation and Benefits Managers",NA
"11-0000","11-3000",NA,NA,"Management Occupations","Human Resources Managers",NA,NA,NA
"11-0000","11-3000",NA,"11-3121","Management Occupations","Human Resources Managers",NA,"Human Resources Managers",NA
"11-0000","11-3000",NA,NA,"Management Occupations","Training and Development Managers",NA,NA,NA
"11-0000","11-3000",NA,"11-3131","Management Occupations","Training and Development Managers",NA,"Training and Development Managers",NA
"11-0000","11-9000",NA,NA,"Management Occupations","Other Management Occupations",NA,NA,NA
"11-0000","11-9000","11-9010",NA,"Management Occupations","Other Management Occupations","Farmers, Ranchers, and Other Agricultural Managers",NA,NA
"11-0000","11-9000","11-9010","11-9013","Management Occupations","Other Management Occupations","Farmers, Ranchers, and Other Agricultural Managers","Farmers, Ranchers, and Other Agricultural Managers",NA
"11-0000","11-9000","11-9020",NA,"Management Occupations","Other Management Occupations","Construction Managers",NA,NA
"11-0000","11-9000","11-9020","11-9021","Management Occupations","Other Management Occupations","Construction Managers","Construction Managers",NA
"11-0000","11-9000","11-9030",NA,"Management Occupations","Other Management Occupations","Education Administrators",NA,NA
"11-0000","11-9000","11-9030","11-9031","Management Occupations","Other Management Occupations","Education Administrators","Education Administrators, Preschool and Childcare Center/Program",NA
"11-0000","11-9000","11-9030","11-9032","Management Occupations","Other Management Occupations","Education Administrators","Education Administrators, Elementary and Secondary School",NA
"11-0000","11-9000","11-9030","11-9033","Management Occupations","Other Management Occupations","Education Administrators","Education Administrators, Postsecondary",NA
"11-0000","11-9000","11-9030","11-9039","Management Occupations","Other Management Occupations","Education Administrators","Education Administrators, All Other",NA
"11-0000","11-9000","11-9040",NA,"Management Occupations","Other Management Occupations","Architectural and Engineering Managers",NA,NA
"11-0000","11-9000","11-9040","11-9041","Management Occupations","Other Management Occupations","Architectural and Engineering Managers","Architectural and Engineering Managers",NA
"11-0000","11-9000","11-9050",NA,"Management Occupations","Other Management Occupations","Food Service Managers",NA,NA
"11-0000","11-9000","11-9050","11-9051","Management Occupations","Other Management Occupations","Food Service Managers","Food Service Managers",NA
"11-0000","11-9000","11-9060",NA,"Management Occupations","Other Management Occupations","Funeral Service Managers",NA,NA
"11-0000","11-9000","11-9060","11-9061","Management Occupations","Other Management Occupations","Funeral Service Managers","Funeral Service Managers",NA
"11-0000","11-9000","11-9070",NA,"Management Occupations","Other Management Occupations","Gaming Managers",NA,NA
"11-0000","11-9000","11-9070","11-9071","Management Occupations","Other Management Occupations","Gaming Managers","Gaming Managers",NA
"11-0000","11-9000","11-9080",NA,"Management Occupations","Other Management Occupations","Lodging Managers",NA,NA
"11-0000","11-9000","11-9080","11-9081","Management Occupations","Other Management Occupations","Lodging Managers","Lodging Managers",NA
"11-0000","11-9000",NA,NA,"Management Occupations","Medical and Health Services Managers",NA,NA,NA
"11-0000","11-9000",NA,"11-9111","Management Occupations","Medical and Health Services Managers",NA,"Medical and Health Services Managers",NA
"11-0000","11-9000",NA,NA,"Management Occupations","Natural Sciences Managers",NA,NA,NA
"11-0000","11-9000",NA,"11-9121","Management Occupations","Natural Sciences Managers",NA,"Natural Sciences Managers",NA
"11-0000","11-9000",NA,NA,"Management Occupations","Postmasters and Mail Superintendents",NA,NA,NA
"11-0000","11-9000",NA,"11-9131","Management Occupations","Postmasters and Mail Superintendents",NA,"Postmasters and Mail Superintendents",NA
"11-0000","11-9000",NA,NA,"Management Occupations","Property, Real Estate, and Community Association Managers",NA,NA,NA
"11-0000","11-9000",NA,"11-9141","Management Occupations","Property, Real Estate, and Community Association Managers",NA,"Property, Real Estate, and Community Association Managers",NA
"11-0000","11-9000",NA,NA,"Management Occupations","Social and Community Service Managers",NA,NA,NA
"11-0000","11-9000",NA,"11-9151","Management Occupations","Social and Community Service Managers",NA,"Social and Community Service Managers",NA
"11-0000","11-9000",NA,NA,"Management Occupations","Emergency Management Directors",NA,NA,NA
"11-0000","11-9000",NA,"11-9161","Management Occupations","Emergency Management Directors",NA,"Emergency Management Directors",NA
"11-0000","11-9000",NA,NA,"Management Occupations","Miscellaneous Managers",NA,NA,NA
"11-0000","11-9000",NA,"11-9199","Management Occupations","Managers, All Other",NA,"Managers, All Other",NA
"13-0000",NA,NA,NA,"Business and Financial Operations Occupations",NA,NA,NA,NA
"13-0000","13-1000",NA,NA,"Business and Financial Operations Occupations","Business Operations Specialists",NA,NA,NA
"13-0000","13-1000","13-1010",NA,"Business and Financial Operations Occupations","Business Operations Specialists","Agents and Business Managers of Artists, Performers, and Athletes",NA,NA
"13-0000","13-1000","13-1010","13-1011","Business and Financial Operations Occupations","Business Operations Specialists","Agents and Business Managers of Artists, Performers, and Athletes","Agents and Business Managers of Artists, Performers, and Athletes",NA
"13-0000","13-1000","13-1020",NA,"Business and Financial Operations Occupations","Business Operations Specialists","Buyers and Purchasing Agents",NA,NA
"13-0000","13-1000","13-1020","13-1021","Business and Financial Operations Occupations","Business Operations Specialists","Buyers and Purchasing Agents","Buyers and Purchasing Agents, Farm Products",NA
"13-0000","13-1000","13-1020","13-1022","Business and Financial Operations Occupations","Business Operations Specialists","Buyers and Purchasing Agents","Wholesale and Retail Buyers, Except Farm Products",NA
"13-0000","13-1000","13-1020","13-1023","Business and Financial Operations Occupations","Business Operations Specialists","Buyers and Purchasing Agents","Purchasing Agents, Except Wholesale, Retail, and Farm Products",NA
"13-0000","13-1000","13-1030",NA,"Business and Financial Operations Occupations","Business Operations Specialists","Claims Adjusters, Appraisers, Examiners, and Investigators",NA,NA
"13-0000","13-1000","13-1030","13-1031","Business and Financial Operations Occupations","Business Operations Specialists","Claims Adjusters, Appraisers, Examiners, and Investigators","Claims Adjusters, Examiners, and Investigators",NA
"13-0000","13-1000","13-1030","13-1032","Business and Financial Operations Occupations","Business Operations Specialists","Claims Adjusters, Appraisers, Examiners, and Investigators","Insurance Appraisers, Auto Damage",NA
"13-0000","13-1000","13-1040",NA,"Business and Financial Operations Occupations","Business Operations Specialists","Compliance Officers",NA,NA
"13-0000","13-1000","13-1040","13-1041","Business and Financial Operations Occupations","Business Operations Specialists","Compliance Officers","Compliance Officers",NA
"13-0000","13-1000","13-1050",NA,"Business and Financial Operations Occupations","Business Operations Specialists","Cost Estimators",NA,NA
"13-0000","13-1000","13-1050","13-1051","Business and Financial Operations Occupations","Business Operations Specialists","Cost Estimators","Cost Estimators",NA
"13-0000","13-1000","13-1070",NA,"Business and Financial Operations Occupations","Business Operations Specialists","Human Resources Workers",NA,NA
"13-0000","13-1000","13-1070","13-1071","Business and Financial Operations Occupations","Business Operations Specialists","Human Resources Workers","Human Resources Specialists",NA
"13-0000","13-1000","13-1070","13-1074","Business and Financial Operations Occupations","Business Operations Specialists","Human Resources Workers","Farm Labor Contractors",NA
"13-0000","13-1000","13-1070","13-1075","Business and Financial Operations Occupations","Business Operations Specialists","Human Resources Workers","Labor Relations Specialists",NA
"13-0000","13-1000","13-1080",NA,"Business and Financial Operations Occupations","Business Operations Specialists","Logisticians",NA,NA
"13-0000","13-1000","13-1080","13-1081","Business and Financial Operations Occupations","Business Operations Specialists","Logisticians","Logisticians",NA
"13-0000","13-1000",NA,NA,"Business and Financial Operations Occupations","Management Analysts",NA,NA,NA
"13-0000","13-1000",NA,"13-1111","Business and Financial Operations Occupations","Management Analysts",NA,"Management Analysts",NA
"13-0000","13-1000",NA,NA,"Business and Financial Operations Occupations","Meeting, Convention, and Event Planners",NA,NA,NA
"13-0000","13-1000",NA,"13-1121","Business and Financial Operations Occupations","Meeting, Convention, and Event Planners",NA,"Meeting, Convention, and Event Planners",NA
"13-0000","13-1000",NA,NA,"Business and Financial Operations Occupations","Fundraisers",NA,NA,NA
"13-0000","13-1000",NA,"13-1131","Business and Financial Operations Occupations","Fundraisers",NA,"Fundraisers",NA
"13-0000","13-1000",NA,NA,"Business and Financial Operations Occupations","Compensation, Benefits, and Job Analysis Specialists",NA,NA,NA
"13-0000","13-1000",NA,"13-1141","Business and Financial Operations Occupations","Compensation, Benefits, and Job Analysis Specialists",NA,"Compensation, Benefits, and Job Analysis Specialists",NA
"13-0000","13-1000",NA,NA,"Business and Financial Operations Occupations","Training and Development Specialists",NA,NA,NA
"13-0000","13-1000",NA,"13-1151","Business and Financial Operations Occupations","Training and Development Specialists",NA,"Training and Development Specialists",NA
"13-0000","13-1000",NA,NA,"Business and Financial Operations Occupations","Market Research Analysts and Marketing Specialists",NA,NA,NA
"13-0000","13-1000",NA,"13-1161","Business and Financial Operations Occupations","Market Research Analysts and Marketing Specialists",NA,"Market Research Analysts and Marketing Specialists",NA
"13-0000","13-1000",NA,NA,"Business and Financial Operations Occupations","Miscellaneous Business Operations Specialists",NA,NA,NA
"13-0000","13-1000",NA,"13-1199","Business and Financial Operations Occupations","Business Operations Specialists, All Other",NA,"Business Operations Specialists, All Other",NA
"13-0000","13-2000",NA,NA,"Business and Financial Operations Occupations","Financial Specialists",NA,NA,NA
"13-0000","13-2000","13-2010",NA,"Business and Financial Operations Occupations","Financial Specialists","Accountants and Auditors",NA,NA
"13-0000","13-2000","13-2010","13-2011","Business and Financial Operations Occupations","Financial Specialists","Accountants and Auditors","Accountants and Auditors",NA
"13-0000","13-2000","13-2020",NA,"Business and Financial Operations Occupations","Financial Specialists","Appraisers and Assessors of Real Estate",NA,NA
"13-0000","13-2000","13-2020","13-2021","Business and Financial Operations Occupations","Financial Specialists","Appraisers and Assessors of Real Estate","Appraisers and Assessors of Real Estate",NA
"13-0000","13-2000","13-2030",NA,"Business and Financial Operations Occupations","Financial Specialists","Budget Analysts",NA,NA
"13-0000","13-2000","13-2030","13-2031","Business and Financial Operations Occupations","Financial Specialists","Budget Analysts","Budget Analysts",NA
"13-0000","13-2000","13-2040",NA,"Business and Financial Operations Occupations","Financial Specialists","Credit Analysts",NA,NA
"13-0000","13-2000","13-2040","13-2041","Business and Financial Operations Occupations","Financial Specialists","Credit Analysts","Credit Analysts",NA
"13-0000","13-2000","13-2050",NA,"Business and Financial Operations Occupations","Financial Specialists","Financial Analysts and Advisors",NA,NA
"13-0000","13-2000","13-2050","13-2051","Business and Financial Operations Occupations","Financial Specialists","Financial Analysts and Advisors","Financial Analysts",NA
"13-0000","13-2000","13-2050","13-2052","Business and Financial Operations Occupations","Financial Specialists","Financial Analysts and Advisors","Personal Financial Advisors",NA
"13-0000","13-2000","13-2050","13-2053","Business and Financial Operations Occupations","Financial Specialists","Financial Analysts and Advisors","Insurance Underwriters",NA
"13-0000","13-2000","13-2060",NA,"Business and Financial Operations Occupations","Financial Specialists","Financial Examiners",NA,NA
"13-0000","13-2000","13-2060","13-2061","Business and Financial Operations Occupations","Financial Specialists","Financial Examiners","Financial Examiners",NA
"13-0000","13-2000","13-2070",NA,"Business and Financial Operations Occupations","Financial Specialists","Credit Counselors and Loan Officers",NA,NA
"13-0000","13-2000","13-2070","13-2071","Business and Financial Operations Occupations","Financial Specialists","Credit Counselors and Loan Officers","Credit Counselors",NA
"13-0000","13-2000","13-2070","13-2072","Business and Financial Operations Occupations","Financial Specialists","Credit Counselors and Loan Officers","Loan Officers",NA
"13-0000","13-2000","13-2080",NA,"Business and Financial Operations Occupations","Financial Specialists","Tax Examiners, Collectors and Preparers, and Revenue Agents",NA,NA
"13-0000","13-2000","13-2080","13-2081","Business and Financial Operations Occupations","Financial Specialists","Tax Examiners, Collectors and Preparers, and Revenue Agents","Tax Examiners and Collectors, and Revenue Agents",NA
"13-0000","13-2000","13-2080","13-2082","Business and Financial Operations Occupations","Financial Specialists","Tax Examiners, Collectors and Preparers, and Revenue Agents","Tax Preparers",NA
"13-0000","13-2000","13-2090",NA,"Business and Financial Operations Occupations","Financial Specialists","Miscellaneous Financial Specialists",NA,NA
"13-0000","13-2000","13-2090","13-2099","Business and Financial Operations Occupations","Financial Specialists","Miscellaneous Financial Specialists","Financial Specialists, All Other",NA
"15-0000",NA,NA,NA,"Computer and Mathematical Occupations",NA,NA,NA,NA
"15-0000","15-1100",NA,NA,"Computer and Mathematical Occupations","Computer Occupations",NA,NA,NA
"15-0000","15-1100","15-1110",NA,"Computer and Mathematical Occupations","Computer Occupations","Computer and Information Research Scientists",NA,NA
"15-0000","15-1100","15-1110","15-1111","Computer and Mathematical Occupations","Computer Occupations","Computer and Information Research Scientists","Computer and Information Research Scientists",NA
"15-0000","15-1100","15-1120",NA,"Computer and Mathematical Occupations","Computer Occupations","Computer and Information Analysts",NA,NA
"15-0000","15-1100","15-1120","15-1121","Computer and Mathematical Occupations","Computer Occupations","Computer and Information Analysts","Computer Systems Analysts",NA
"15-0000","15-1100","15-1120","15-1122","Computer and Mathematical Occupations","Computer Occupations","Computer and Information Analysts","Information Security Analysts",NA
"15-0000","15-1100","15-1130",NA,"Computer and Mathematical Occupations","Computer Occupations","Software Developers and Programmers",NA,NA
"15-0000","15-1100","15-1130","15-1131","Computer and Mathematical Occupations","Computer Occupations","Software Developers and Programmers","Computer Programmers",NA
"15-0000","15-1100","15-1130","15-1132","Computer and Mathematical Occupations","Computer Occupations","Software Developers and Programmers","Software Developers, Applications",NA
"15-0000","15-1100","15-1130","15-1133","Computer and Mathematical Occupations","Computer Occupations","Software Developers and Programmers","Software Developers, Systems Software",NA
"15-0000","15-1100","15-1130","15-1134","Computer and Mathematical Occupations","Computer Occupations","Software Developers and Programmers","Web Developers",NA
"15-0000","15-1100","15-1140",NA,"Computer and Mathematical Occupations","Computer Occupations","Database and Systems Administrators and Network Architects",NA,NA
"15-0000","15-1100","15-1140","15-1141","Computer and Mathematical Occupations","Computer Occupations","Database and Systems Administrators and Network Architects","Database Administrators",NA
"15-0000","15-1100","15-1140","15-1142","Computer and Mathematical Occupations","Computer Occupations","Database and Systems Administrators and Network Architects","Network and Computer Systems Administrators",NA
"15-0000","15-1100","15-1140","15-1143","Computer and Mathematical Occupations","Computer Occupations","Database and Systems Administrators and Network Architects","Computer Network Architects",NA
"15-0000","15-1100","15-1150",NA,"Computer and Mathematical Occupations","Computer Occupations","Computer Support Specialists",NA,NA
"15-0000","15-1100","15-1150","15-1151","Computer and Mathematical Occupations","Computer Occupations","Computer Support Specialists","Computer User Support Specialists",NA
"15-0000","15-1100","15-1150","15-1152","Computer and Mathematical Occupations","Computer Occupations","Computer Support Specialists","Computer Network Support Specialists",NA
"15-0000","15-1100","15-1190",NA,"Computer and Mathematical Occupations","Computer Occupations","Miscellaneous Computer Occupations",NA,NA
"15-0000","15-1100","15-1190","15-1199","Computer and Mathematical Occupations","Computer Occupations","Miscellaneous Computer Occupations","Computer Occupations, All Other",NA
"15-0000","15-2000",NA,NA,"Computer and Mathematical Occupations","Mathematical Science Occupations",NA,NA,NA
"15-0000","15-2000","15-2010",NA,"Computer and Mathematical Occupations","Mathematical Science Occupations","Actuaries",NA,NA
"15-0000","15-2000","15-2010","15-2011","Computer and Mathematical Occupations","Mathematical Science Occupations","Actuaries","Actuaries",NA
"15-0000","15-2000","15-2020",NA,"Computer and Mathematical Occupations","Mathematical Science Occupations","Mathematicians",NA,NA
"15-0000","15-2000","15-2020","15-2021","Computer and Mathematical Occupations","Mathematical Science Occupations","Mathematicians","Mathematicians",NA
"15-0000","15-2000","15-2030",NA,"Computer and Mathematical Occupations","Mathematical Science Occupations","Operations Research Analysts",NA,NA
"15-0000","15-2000","15-2030","15-2031","Computer and Mathematical Occupations","Mathematical Science Occupations","Operations Research Analysts","Operations Research Analysts",NA
"15-0000","15-2000","15-2040",NA,"Computer and Mathematical Occupations","Mathematical Science Occupations","Statisticians",NA,NA
"15-0000","15-2000","15-2040","15-2041","Computer and Mathematical Occupations","Mathematical Science Occupations","Statisticians","Statisticians",NA
"15-0000","15-2000","15-2090",NA,"Computer and Mathematical Occupations","Mathematical Science Occupations","Miscellaneous Mathematical Science Occupations",NA,NA
"15-0000","15-2000","15-2090","15-2091","Computer and Mathematical Occupations","Mathematical Science Occupations","Miscellaneous Mathematical Science Occupations","Mathematical Technicians",NA
"15-0000","15-2000","15-2090","15-2099","Computer and Mathematical Occupations","Mathematical Science Occupations","Miscellaneous Mathematical Science Occupations","Mathematical Science Occupations, All Other",NA
"17-0000",NA,NA,NA,"Architecture and Engineering Occupations",NA,NA,NA,NA
"17-0000","17-1000",NA,NA,"Architecture and Engineering Occupations","Architects, Surveyors, and Cartographers",NA,NA,NA
"17-0000","17-1000","17-1010",NA,"Architecture and Engineering Occupations","Architects, Surveyors, and Cartographers","Architects, Except Naval",NA,NA
"17-0000","17-1000","17-1010","17-1011","Architecture and Engineering Occupations","Architects, Surveyors, and Cartographers","Architects, Except Naval","Architects, Except Landscape and Naval",NA
"17-0000","17-1000","17-1010","17-1012","Architecture and Engineering Occupations","Architects, Surveyors, and Cartographers","Architects, Except Naval","Landscape Architects",NA
"17-0000","17-1000","17-1020",NA,"Architecture and Engineering Occupations","Architects, Surveyors, and Cartographers","Surveyors, Cartographers, and Photogrammetrists",NA,NA
"17-0000","17-1000","17-1020","17-1021","Architecture and Engineering Occupations","Architects, Surveyors, and Cartographers","Surveyors, Cartographers, and Photogrammetrists","Cartographers and Photogrammetrists",NA
"17-0000","17-1000","17-1020","17-1022","Architecture and Engineering Occupations","Architects, Surveyors, and Cartographers","Surveyors, Cartographers, and Photogrammetrists","Surveyors",NA
"17-0000","17-2000",NA,NA,"Architecture and Engineering Occupations","Engineers",NA,NA,NA
"17-0000","17-2000","17-2010",NA,"Architecture and Engineering Occupations","Engineers","Aerospace Engineers",NA,NA
"17-0000","17-2000","17-2010","17-2011","Architecture and Engineering Occupations","Engineers","Aerospace Engineers","Aerospace Engineers",NA
"17-0000","17-2000","17-2020",NA,"Architecture and Engineering Occupations","Engineers","Agricultural Engineers",NA,NA
"17-0000","17-2000","17-2020","17-2021","Architecture and Engineering Occupations","Engineers","Agricultural Engineers","Agricultural Engineers",NA
"17-0000","17-2000","17-2030",NA,"Architecture and Engineering Occupations","Engineers","Biomedical Engineers",NA,NA
"17-0000","17-2000","17-2030","17-2031","Architecture and Engineering Occupations","Engineers","Biomedical Engineers","Biomedical Engineers",NA
"17-0000","17-2000","17-2040",NA,"Architecture and Engineering Occupations","Engineers","Chemical Engineers",NA,NA
"17-0000","17-2000","17-2040","17-2041","Architecture and Engineering Occupations","Engineers","Chemical Engineers","Chemical Engineers",NA
"17-0000","17-2000","17-2050",NA,"Architecture and Engineering Occupations","Engineers","Civil Engineers",NA,NA
"17-0000","17-2000","17-2050","17-2051","Architecture and Engineering Occupations","Engineers","Civil Engineers","Civil Engineers",NA
"17-0000","17-2000","17-2060",NA,"Architecture and Engineering Occupations","Engineers","Computer Hardware Engineers",NA,NA
"17-0000","17-2000","17-2060","17-2061","Architecture and Engineering Occupations","Engineers","Computer Hardware Engineers","Computer Hardware Engineers",NA
"17-0000","17-2000","17-2070",NA,"Architecture and Engineering Occupations","Engineers","Electrical and Electronics Engineers",NA,NA
"17-0000","17-2000","17-2070","17-2071","Architecture and Engineering Occupations","Engineers","Electrical and Electronics Engineers","Electrical Engineers",NA
"17-0000","17-2000","17-2070","17-2072","Architecture and Engineering Occupations","Engineers","Electrical and Electronics Engineers","Electronics Engineers, Except Computer",NA
"17-0000","17-2000","17-2080",NA,"Architecture and Engineering Occupations","Engineers","Environmental Engineers",NA,NA
"17-0000","17-2000","17-2080","17-2081","Architecture and Engineering Occupations","Engineers","Environmental Engineers","Environmental Engineers",NA
"17-0000","17-2000",NA,NA,"Architecture and Engineering Occupations","Industrial Engineers, Including Health and Safety",NA,NA,NA
"17-0000","17-2000",NA,"17-2111","Architecture and Engineering Occupations","Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",NA,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",NA
"17-0000","17-2000",NA,"17-2112","Architecture and Engineering Occupations","Industrial Engineers",NA,"Industrial Engineers",NA
"17-0000","17-2000",NA,NA,"Architecture and Engineering Occupations","Marine Engineers and Naval Architects",NA,NA,NA
"17-0000","17-2000",NA,"17-2121","Architecture and Engineering Occupations","Marine Engineers and Naval Architects",NA,"Marine Engineers and Naval Architects",NA
"17-0000","17-2000",NA,NA,"Architecture and Engineering Occupations","Materials Engineers",NA,NA,NA
"17-0000","17-2000",NA,"17-2131","Architecture and Engineering Occupations","Materials Engineers",NA,"Materials Engineers",NA
"17-0000","17-2000",NA,NA,"Architecture and Engineering Occupations","Mechanical Engineers",NA,NA,NA
"17-0000","17-2000",NA,"17-2141","Architecture and Engineering Occupations","Mechanical Engineers",NA,"Mechanical Engineers",NA
"17-0000","17-2000",NA,NA,"Architecture and Engineering Occupations","Mining and Geological Engineers, Including Mining Safety Engineers",NA,NA,NA
"17-0000","17-2000",NA,"17-2151","Architecture and Engineering Occupations","Mining and Geological Engineers, Including Mining Safety Engineers",NA,"Mining and Geological Engineers, Including Mining Safety Engineers",NA
"17-0000","17-2000",NA,NA,"Architecture and Engineering Occupations","Nuclear Engineers",NA,NA,NA
"17-0000","17-2000",NA,"17-2161","Architecture and Engineering Occupations","Nuclear Engineers",NA,"Nuclear Engineers",NA
"17-0000","17-2000",NA,NA,"Architecture and Engineering Occupations","Petroleum Engineers",NA,NA,NA
"17-0000","17-2000",NA,"17-2171","Architecture and Engineering Occupations","Petroleum Engineers",NA,"Petroleum Engineers",NA
"17-0000","17-2000",NA,NA,"Architecture and Engineering Occupations","Miscellaneous Engineers",NA,NA,NA
"17-0000","17-2000",NA,"17-2199","Architecture and Engineering Occupations","Engineers, All Other",NA,"Engineers, All Other",NA
"17-0000","17-3000",NA,NA,"Architecture and Engineering Occupations","Drafters, Engineering Technicians, and Mapping Technicians",NA,NA,NA
"17-0000","17-3000","17-3010",NA,"Architecture and Engineering Occupations","Drafters, Engineering Technicians, and Mapping Technicians","Drafters",NA,NA
"17-0000","17-3000","17-3010","17-3011","Architecture and Engineering Occupations","Drafters, Engineering Technicians, and Mapping Technicians","Drafters","Architectural and Civil Drafters",NA
"17-0000","17-3000","17-3010","17-3012","Architecture and Engineering Occupations","Drafters, Engineering Technicians, and Mapping Technicians","Drafters","Electrical and Electronics Drafters",NA
"17-0000","17-3000","17-3010","17-3013","Architecture and Engineering Occupations","Drafters, Engineering Technicians, and Mapping Technicians","Drafters","Mechanical Drafters",NA
"17-0000","17-3000","17-3010","17-3019","Architecture and Engineering Occupations","Drafters, Engineering Technicians, and Mapping Technicians","Drafters","Drafters, All Other",NA
"17-0000","17-3000","17-3020",NA,"Architecture and Engineering Occupations","Drafters, Engineering Technicians, and Mapping Technicians","Engineering Technicians, Except Drafters",NA,NA
"17-0000","17-3000","17-3020","17-3021","Architecture and Engineering Occupations","Drafters, Engineering Technicians, and Mapping Technicians","Engineering Technicians, Except Drafters","Aerospace Engineering and Operations Technicians",NA
"17-0000","17-3000","17-3020","17-3022","Architecture and Engineering Occupations","Drafters, Engineering Technicians, and Mapping Technicians","Engineering Technicians, Except Drafters","Civil Engineering Technicians",NA
"17-0000","17-3000","17-3020","17-3023","Architecture and Engineering Occupations","Drafters, Engineering Technicians, and Mapping Technicians","Engineering Technicians, Except Drafters","Electrical and Electronics Engineering Technicians",NA
"17-0000","17-3000","17-3020","17-3024","Architecture and Engineering Occupations","Drafters, Engineering Technicians, and Mapping Technicians","Engineering Technicians, Except Drafters","Electro-Mechanical Technicians",NA
"17-0000","17-3000","17-3020","17-3025","Architecture and Engineering Occupations","Drafters, Engineering Technicians, and Mapping Technicians","Engineering Technicians, Except Drafters","Environmental Engineering Technicians",NA
"17-0000","17-3000","17-3020","17-3026","Architecture and Engineering Occupations","Drafters, Engineering Technicians, and Mapping Technicians","Engineering Technicians, Except Drafters","Industrial Engineering Technicians",NA
"17-0000","17-3000","17-3020","17-3027","Architecture and Engineering Occupations","Drafters, Engineering Technicians, and Mapping Technicians","Engineering Technicians, Except Drafters","Mechanical Engineering Technicians",NA
"17-0000","17-3000","17-3020","17-3029","Architecture and Engineering Occupations","Drafters, Engineering Technicians, and Mapping Technicians","Engineering Technicians, Except Drafters","Engineering Technicians, Except Drafters, All Other",NA
